SuperWEB2(tm)

"Domestic Overnight Trips"
"Quarter and Stopover state/region/SA2 by Stopover reason"
"Counting: Overnight trips (000)"

Filters:
"Default Summation","Overnight trips (000)"

,"Stopover reason","Holiday","Visiting friends and relatives","Business","Other reason","No other reason","In transit","Not stated/not asked","Total",
"Quarter","Stopover state/region/SA2",
"March quarter 1998","Sydney",828.3171185,818.3232867,524.9231427,117.3920809,0,10.3113041,0,2289.206232,
,"Blue Mountains",103.7609092,70.5420568,18.7583009,2.4819126,0,0,0,195.5431795,
,"Capital Country",99.2024433,100.0013013,42.712127,19.89227,0,2.4819126,0,264.2900542,
,"Central Coast",279.4885929,148.5447722,24.2022147,2.9312689,0,0,4.67302,456.4560751,
,"Central NSW",169.5717532,143.2431406,99.832452,11.7481006,0,14.5217008,0,426.7352886,
,"Hunter",328.8517928,266.1474153,69.2157325,10.7635167,0,11.9847033,0,686.9631606,
,"New England North West",114.5803527,143.3189471,60.2855466,11.65366,0,14.4043851,4.4898575,342.3908705,
,"North Coast NSW",828.1943313,416.3060678,55.3648871,42.4359439,0,28.1532627,0,1340.7809296,
,"Outback NSW",24.5278871,21.34779,48.6532213,2.0737523,0,2.6795424,4.4898575,103.7720506,
,"Riverina",46.4970816,71.7790407,82.4084251,14.584365,0,8.2006762,0,223.4695886,
,"Snowy Mountains",101.1525199,20.4333299,15.8573854,3.5459216,0,0,0,140.9891568,
,"South Coast",914.7728321,280.8461174,57.200892,4.6267086,0,0,1.6774061,1246.3702718,
,"The Murray",193.9922188,96.1941314,48.1580989,18.1556375,0,3.3372078,0,359.8372944,
,"New South Wales",3699.9578714,2454.8994059,1099.7951518,262.2851386,0,74.8016324,50.7671934,7495.2104942,
,"Melbourne",427.8277995,665.5677909,405.242965,79.9098538,0,0,0,1578.5484092,
,"Ballarat",69.0591529,67.4244734,45.7557152,0,0,2.4789343,0,184.7182758,
,"Bendigo Loddon",90.8521119,119.0211165,16.5088821,5.3038662,0,3.5851992,0,235.2711759,
,"Central Highlands",33.4858767,47.1038602,4.838424,3.4791648,0,0,0,88.9073257,
,"Central Murray",136.8372995,42.9397239,16.5216982,0,0,0,0,196.2987216,
,"Geelong and the Bellarine",123.3738534,111.7286673,15.8979696,4.4443414,0,0,0,255.4448317,
,"Gippsland",204.6716807,138.6463415,33.5533608,5.7375729,0,0,0,381.2854221,
,"Goulburn",39.8028414,89.5908378,19.5389323,4.465904,0,6.7486797,0,160.1471952,
,"Great Ocean Road",548.4110801,146.3427486,40.6351686,3.9619775,0,7.288024,0,744.3138224,
,"High Country",232.7013158,68.352694,17.6357696,1.8147991,0,2.1297902,0,322.6343687,
,"Lakes",161.1803638,40.8733098,9.7822179,0,0,6.4906892,0,218.3265807,
,"Macedon",10.4634017,11.9407155,0,2.3867736,0,0,0,24.7908908,
,"Mallee",92.0024097,51.6419982,34.810593,3.6295981,0,2.6795424,0,184.7641414,
,"Melbourne East",53.6322074,26.8734313,6.3473197,0,0,0,0,86.8529584,
,"Murray East",2.7812908,17.2493945,2.2865051,0,0,0,0,22.3171904,
,"Peninsula",477.8681122,157.5065218,48.7638987,10.5851463,0,0,0,694.723679,
,"Phillip Island",315.9766462,38.5628529,9.5037885,0,0,0,0,364.0432876,
,"Spa Country",59.8966891,21.3354921,4.9638252,0,0,0,0,86.1960064,
,"Upper Yarra",80.1052897,9.8877941,12.7979385,0,0,0,0,102.7910223,
,"Western Grampians",40.8768086,27.7316965,17.0653066,1.3227791,0,1.3906454,0,88.3872362,
,"Wimmera",1.8147991,14.5080315,2.4819126,0,0,0,2.419212,21.2239552,
,"Victoria",3025.2522084,1826.6215594,764.7183464,127.706327,0,28.2429313,57.9897679,5728.634394,
,"Brisbane",394.243963,391.8009107,218.5733452,47.5762765,0,2.6795424,0,1054.8740378,
,"Bundaberg",53.995,37.5188135,31.4004681,0,0,2.6795424,0,125.593824,
,"Central Queensland",78.3670423,56.1745249,55.0462885,2.0014202,0,0.861641,0,181.0374688,
,"Darling Downs",78.1077466,94.6004494,40.0376521,5.8604712,0,5.5866194,0,224.1929387,
,"Fraser Coast",69.9934232,70.2659661,32.840038,0.861641,0,0,0,173.0994273,
,"Gold Coast",562.4100881,189.1466946,65.541346,9.9476326,0,0,0,824.6312023,
,"Mackay",56.9825955,34.2732371,31.2518621,6.4279567,0,0,0,128.9356514,
,"Northern",82.3330148,53.3368741,68.3760996,22.0668182,0,0.861641,0,226.9744477,
,"Outback",12.3211524,18.9674461,44.9776056,0,0,1.4028782,0,77.6690823,
,"Sunshine Coast",485.173433,183.5730108,64.8332303,9.0226254,0,0,0,740.0743846,
,"Tropical North Queensland",109.3783788,56.9905032,49.168455,5.3780095,0,1.3703811,0,220.9153465,
,"Whitsundays",48.0575279,11.0008662,1.168255,0,0,0,3.0269249,60.2266491,
,"Queensland",1849.9341876,1123.2305836,609.9584166,109.1428513,0,11.0394211,41.6281867,3659.5228103,
,"Adelaide",223.5574059,241.5561095,135.0776903,58.3626891,0,0,0,657.7243115,
,"Adelaide Hills",6.8104523,2.988178,0,0,0,0,0,9.7986303,
,"Barossa",35.9916269,8.7609096,0.8353756,1.2081706,0,0,0,46.7960827,
,"Clare Valley",12.8416116,9.1440281,11.3964752,1.3721592,0,0,0,34.7542741,
,"Eyre Peninsula",42.1664079,34.0773886,13.9263511,2.0284737,0,4.8427584,0,96.3082849,
,"Fleurieu Peninsula",158.950169,44.2384524,6.557643,2.9401857,0,0,0,212.6864501,
,"Limestone Coast",99.7981271,70.1655395,20.944691,2.6949383,0,0.883272,0,190.5182307,
,"Murraylands",51.0539931,31.8191737,5.1165108,2.0884391,0,1.7390252,0,91.8171419,
,"Riverland",67.7807677,14.0512706,7.6793389,0,0,0,0,89.5113772,
,"Yorke Peninsula",113.0287626,32.3145794,10.8509058,4.4873891,0,0,0,160.6816369,
,"Flinders Ranges and Outback",36.6363363,38.536876,34.3522596,2.5722663,0,6.136563,0,118.2343012,
,"Kangaroo Island",28.4077656,3.7719898,2.0723764,0.4261681,0,0,0,34.6782999,
,"South Australia",785.0094007,510.7497065,236.2874852,75.0103927,0,13.6016186,32.5225,1625.6421686,
,"Experience Perth",294.6780105,226.1347373,187.985188,42.4140218,0,1.3703811,0,745.1926693,
,"Australia's Golden Outback",61.8753289,44.3498096,50.6761216,4.8256884,0,9.4643544,1.4783516,170.2504425,
,"Australia's North West",54.0893435,14.8360696,51.1373749,0.7126621,0,0,0,120.7754501,
,"Australia's South West",279.7357484,116.9707457,74.8027506,3.3494845,0,0,1.281565,470.4344921,
,"Australia's Coral Coast",82.1520524,23.3106706,26.2238425,0.8298436,0,0,0,132.5164091,
,"Western Australia",724.6129972,414.140145,365.7655491,51.3018568,0,10.8347355,6.6081749,1536.5947859,
,"Hobart and the South",216.1151579,102.250347,54.4738504,7.7626944,0,2.4163412,0,374.5315847,
,"East Coast",127.4818034,18.6966795,1.3150918,1.3620771,0,0,0.5814589,149.4371107,
,"Launceston, Tamar and the North",131.3667457,77.1049895,31.8996671,7.2238239,0,3.2391485,0,249.4036289,
,"North West",99.2680853,30.0927883,10.8297863,1.0504814,0,0,0,141.2411413,
,"Wilderness West",58.3291075,1.346264,2.9338293,0.7258965,0,0,0,63.3350973,
,"Tasmania",426.5509779,208.5450528,98.4108841,18.1249733,0,3.2391485,22.5813821,737.9792554,
,"Darwin",21.670966,12.4328665,48.8868912,4.6165715,0,0,0,87.6072952,
,"Barkly",5.3264486,0,12.4742073,0.6645502,0,0.5412372,0,19.0064433,
,"Alice Springs",8.1470853,1.4253243,7.5351074,3.1001214,0,0,0,20.2076384,
,"Kakadu Arnhem",8.8826567,0.861641,8.6152202,0,0,0,0,18.3595179,
,"Katherine Daly",5.6966375,3.4087742,4.9761359,2.6902147,0,0,0,16.7717623,
,"Lasseter",8.7514843,0.8118559,0.5228986,0,0,0,0,10.0862388,
,"MacDonnell",1.3347545,0,8.6164102,0,0,0,0,9.9511647,
,"Northern Territory",41.2706063,18.9404619,70.4049517,10.4069076,0,0.5412372,0.5412372,141.2159485,
,"Canberra",196.2185505,182.8889035,150.1981173,21.6963502,0,0,0,551.0019215,
,"ACT",196.2185505,182.8889035,150.1981173,21.6963502,0,0,0,551.0019215,
"June quarter 1998","Sydney",531.4341924,638.8354855,544.9299018,99.2598998,0,3.759302,1.0930016,1819.3117831,
,"Blue Mountains",158.1847008,34.1077678,7.0812386,1.0349639,0,0,0,200.4086711,
,"Capital Country",97.8042147,88.4707563,43.3351906,8.9898678,0,5.1525645,1.0930016,241.8999007,
,"Central Coast",140.4221808,182.7362242,14.041508,6.2768454,0,1.3878716,0,344.86463,
,"Central NSW",173.9359125,209.0177113,152.579846,21.4781007,0,14.0228706,5.3645891,560.1922456,
,"Hunter",436.1479795,268.7461965,80.7533184,6.2397392,0,2.2636334,3.6525497,796.6716,
,"New England North West",103.4832254,144.5057719,52.1520336,28.224974,0,9.5439207,2.5595481,340.4694737,
,"North Coast NSW",658.587542,355.0995437,130.903353,16.5181629,0,12.6682713,3.6525497,1150.8379733,
,"Outback NSW",63.249258,23.2461775,34.1530105,0,0,6.6725692,0,127.3210152,
,"Riverina",125.4556904,94.9368752,97.0305452,18.67181,0,5.1589612,3.6525497,344.9064317,
,"Snowy Mountains",112.4157614,28.594196,20.3220922,5.2542919,0,0,0,166.5863415,
,"South Coast",480.0650318,219.5167625,82.6031826,12.8895823,0,4.6508877,1.0930016,800.8184485,
,"The Murray",181.0470558,78.5481472,47.4609157,5.2350701,0,10.6278634,0,321.0972846,
,"New South Wales",2938.714772,2246.8428364,1233.2094612,215.8428419,0,55.2792915,54.0069084,6577.4689138,
,"Melbourne",424.1919246,601.3413396,407.6352367,72.9028504,0,6.054845,1.0930016,1513.2191979,
,"Ballarat",37.2995737,80.7343256,12.5608381,6.9718013,0,2.2991241,0,139.8656628,
,"Bendigo Loddon",75.3634634,119.5238767,13.2264732,13.4669852,0,0,2.5595481,224.1403466,
,"Central Highlands",70.6226797,20.7197809,13.8152701,0,0,0,0,105.1577307,
,"Central Murray",110.0529515,63.9868787,21.1389167,2.9829941,0,0,2.5595481,200.7212891,
,"Geelong and the Bellarine",80.5614366,95.2090006,15.8955047,0,0,0,1.0930016,192.7589435,
,"Gippsland",130.8064978,102.1127797,26.8229711,8.2360672,0,0,4.0672618,269.0713174,
,"Goulburn",52.2970177,77.5682261,33.1226233,14.7378836,0,0,0,177.7257507,
,"Great Ocean Road",260.3249222,78.0787561,14.8288588,4.3573645,0,1.7103556,3.6525497,362.9528069,
,"High Country",252.3132451,68.1592189,31.0831438,3.9121356,0,0,2.5595481,356.2219542,
,"Lakes",183.8701881,19.4783717,42.5966141,0,0,0.9848999,1.0930016,244.7712144,
,"Macedon",15.7564148,15.2581896,23.557083,0,0,0,0,54.5716874,
,"Mallee",99.5991911,74.9424584,11.7847698,0,0,2.1306849,1.0930016,188.3940616,
,"Melbourne East",22.7818304,15.3250632,12.9943137,7.8317788,0,0,2.5595481,61.4925342,
,"Murray East",12.5200238,15.4933293,1.9956338,0.9870991,0,0,0,30.996086,
,"Peninsula",179.5074289,59.1050406,8.0181598,0,0,0,1.0930016,247.7236309,
,"Phillip Island",117.0447899,33.0725065,16.1263484,0,0,0,1.0930016,167.3366464,
,"Spa Country",51.1649858,23.1919044,0,0,0,0,0,74.3568902,
,"Upper Yarra",44.6268839,8.8501256,21.3781266,0,0,0,2.5595481,77.4146842,
,"Western Grampians",23.0001374,29.5084511,32.0206811,0.4107076,0,3.8391516,0,88.7791288,
,"Wimmera",14.1053522,17.9776562,17.7912125,2.6080904,0,0,0,52.4823113,
,"Victoria",2066.3965074,1536.0942518,725.7759957,131.5086073,0,17.0190611,41.1603627,4448.7972214,
,"Brisbane",238.5533307,450.8814932,180.4326158,80.547376,0,0,3.6525497,953.1692204,
,"Bundaberg",37.9491123,55.0977789,14.9554986,2.0559212,0,0,0,110.058311,
,"Central Queensland",91.8863145,113.5949014,74.6570898,8.3069509,0,12.6573398,3.2017679,301.3001238,
,"Darling Downs",129.4108227,149.0830974,65.4264434,8.7078886,0,1.3878716,1.0930016,343.9685923,
,"Fraser Coast",83.2235085,24.8769398,21.6384383,0,0,0,0,129.7388866,
,"Gold Coast",373.1896599,230.9141506,70.7733988,5.8972924,0,0,1.0930016,678.1180406,
,"Mackay",44.2801503,54.5273155,30.1383171,3.0042405,0,1.0564784,0,133.0065018,
,"Northern",59.1123699,52.854509,45.4012333,2.1129569,0,3.0042405,0,162.4853096,
,"Outback",50.4410433,46.9141328,97.8865628,0,0,5.7585787,0,196.9579146,
,"Sunshine Coast",361.357044,194.8078602,47.684423,6.034006,0,0,2.5595481,612.4428813,
,"Tropical North Queensland",118.2632137,67.4645592,58.8504365,8.5194069,0,5.8092815,0,253.0976163,
,"Whitsundays",73.6332427,13.8175657,18.7400396,0,0,3.0042405,0,109.1950885,
,"Queensland",1486.4240969,1377.3329841,580.9074242,120.7412018,0,16.8502524,35.6084809,3526.0199523,
,"Adelaide",130.287369,170.1105142,109.987316,39.4687353,0,2.9108425,3.6525497,456.4173267,
,"Adelaide Hills",13.6720871,7.753242,0,4.6416225,0,0,1.0930016,27.1599532,
,"Barossa",32.4538823,14.9568874,2.0179472,0,0,0,0,49.4287169,
,"Clare Valley",30.2520085,20.7488533,1.3485114,3.2301443,0,3.6767651,0,59.2562826,
,"Eyre Peninsula",39.1037234,19.6732056,38.0178302,5.3637303,0,0.6064942,3.6525497,106.4175334,
,"Fleurieu Peninsula",144.128335,30.5305726,8.1573032,2.8481901,0,0,1.0930016,186.7574025,
,"Limestone Coast",60.3808337,44.920042,25.1086666,3.7639933,0,0.6064942,1.0930016,135.8730314,
,"Murraylands",51.2843965,5.6696021,0.4285962,0,0,0,1.0930016,58.4755964,
,"Riverland",60.6381746,30.9362386,6.1555623,1.0178792,0,0,1.6994958,100.4473505,
,"Yorke Peninsula",63.1545904,35.382185,2.5752715,3.2122054,0,0,0,104.3242523,
,"Flinders Ranges and Outback",38.16493,38.4494389,42.8276109,2.7582747,0,7.634599,2.0835094,128.660405,
,"Kangaroo Island",7.7037019,0,1.3541147,0,0,0,0,9.0578166,
,"South Australia",589.9600131,409.0533935,227.8104541,66.3047751,0,9.9337231,14.2209109,1297.9166893,
,"Experience Perth",277.4224089,237.0216223,118.6789075,35.5877684,0,0,1.0930016,662.7622045,
,"Australia's Golden Outback",39.5600864,46.6304694,77.7503244,1.0329002,0,1.7198144,3.6525497,170.3461445,
,"Australia's North West",68.4940569,18.992085,66.3780496,4.5401952,0,0,1.9467737,160.3511604,
,"Australia's South West",229.7009702,106.0446495,67.214746,8.6619153,0,0.6064942,1.0930016,408.9198087,
,"Australia's Coral Coast",104.5202455,37.4430231,27.2130618,3.4390481,0,1.1133202,1.2124848,171.7252509,
,"Western Australia",683.8242821,434.5775138,335.7052154,53.2618272,0,1.7198144,11.6769265,1488.5099671,
,"Hobart and the South",132.7892351,59.2618566,30.782194,4.0762931,0,0,2.5595481,227.8979033,
,"East Coast",91.0744282,8.5693609,6.5773375,0,0,0,2.5595481,108.2289726,
,"Launceston, Tamar and the North",78.7109464,37.9394639,49.0081106,7.1954798,0,0,2.5595481,170.2651364,
,"North West",73.5795067,29.3364708,40.8821699,0.8982974,0,0,2.5595481,143.6489004,
,"Wilderness West",37.4595124,1.87723,3.2703334,0,0,0,0,42.6070758,
,"Tasmania",260.8338649,133.1850866,127.99239,12.1700703,0,0,20.46177,519.5612981,
,"Darwin",45.609579,21.4424656,43.4003929,6.4123731,0,0,0.7342889,117.5990995,
,"Barkly",3.1734303,0,4.3375392,0,0,4.6599415,0.7342889,12.9051999,
,"Alice Springs",34.6595574,18.340277,3.3563886,0,0,0.3469679,0.7342889,57.4374798,
,"Kakadu Arnhem",36.2076892,1.3485114,11.375423,3.914239,0,0,0.7342889,53.5801515,
,"Katherine Daly",14.6862592,10.0707066,14.1320727,1.9170776,0,0.3469679,0.7342889,41.8873729,
,"Lasseter",28.6760363,0.4380954,5.730912,0,0,0.3469679,0.7342889,35.9263005,
,"MacDonnell",0,1.3697506,3.3373754,0,0,0,0.7342889,5.4414149,
,"Northern Territory",132.9136508,52.5717112,79.4259044,8.3294507,0,4.6599415,7.9775032,276.3215639,
,"Canberra",126.7705973,171.7632847,99.9326775,17.5590634,0,0,1.0930016,417.1186245,
,"ACT",126.7705973,171.7632847,99.9326775,17.5590634,0,0,1.0930016,417.1186245,
"September quarter 1998","Sydney",502.8709833,674.0445605,691.284553,121.5318417,0,11.4959084,0.7338715,1997.7994563,
,"Blue Mountains",164.6395602,66.0141786,16.8281838,5.8777661,0,0,0,253.3596887,
,"Capital Country",92.5485637,71.5387036,16.1583279,4.1781563,0,12.4336455,0.7338715,197.5912685,
,"Central Coast",104.7387161,143.6179192,49.2162983,6.0979411,0,2.1833682,0.7338715,306.5881144,
,"Central NSW",197.6246362,212.4434913,99.7700754,45.6897672,0,13.0905055,12.9456055,567.0505148,
,"Hunter",219.4046574,253.3673332,51.5892033,41.6794056,0,3.0792397,2.9416328,572.061472,
,"New England North West",110.2445996,104.2860921,77.6031678,32.7253085,0,13.6039696,6.2379619,334.0399433,
,"North Coast NSW",407.1708177,303.4915268,111.0092082,17.6965132,0,22.0770251,0.7338715,842.3716532,
,"Outback NSW",40.8858592,19.5758294,40.6921479,8.9199426,0,1.2263146,13.162142,124.4622357,
,"Riverina",53.6528169,58.7897801,114.2111384,1.411636,0,10.4905915,4.9670849,243.5230478,
,"Snowy Mountains",310.187083,26.3859548,36.2423008,0,0,0,0,372.8153386,
,"South Coast",343.689583,185.4342812,79.5779075,34.5787744,0,0,0,643.2805461,
,"The Murray",132.924484,143.6478158,97.2086957,2.937702,0,7.6668856,7.0560273,389.2256599,
,"New South Wales",2366.5564872,2174.1343622,1365.0123612,306.9143243,0,86.6714273,46.9770071,6219.2641225,
,"Melbourne",449.5515081,529.1049576,485.9891875,57.5693013,0,2.1076461,4.039268,1526.9212169,
,"Ballarat",38.0063102,53.7055611,25.9308901,0,0,0,0.7927417,118.4355031,
,"Bendigo Loddon",32.7140848,67.6680896,25.3485581,2.324222,0,3.6700237,0.7338715,132.4588497,
,"Central Highlands",57.6739491,16.5208658,24.5621602,0,0,0,0,96.7195048,
,"Central Murray",65.5415586,31.2719121,14.779264,1.3793973,0,1.0329992,0,114.0051312,
,"Geelong and the Bellarine",88.3744901,98.8762642,29.2524554,0.6069613,0,3.4115777,0.7137991,217.8239701,
,"Gippsland",131.6164522,75.1937988,31.3348392,19.0917198,0,0,1.4476706,258.6844806,
,"Goulburn",49.326434,68.5151029,37.3981332,2.2640036,0,0,2.2456636,159.7493373,
,"Great Ocean Road",197.0433664,69.2697845,73.6182868,2.3903204,0,0,3.8307628,346.1525209,
,"High Country",236.5738182,60.9507567,53.510502,5.6216234,0,6.9340774,0,356.6567003,
,"Lakes",100.4861208,54.7092415,28.5876848,14.2150008,0,11.6113383,0,186.3867096,
,"Macedon",0,21.6067482,0,0,0,0,0,21.6067482,
,"Mallee",80.3516086,48.205605,41.880434,16.9094291,0,4.4351129,0,186.7722266,
,"Melbourne East",33.5760907,22.8750147,10.3658834,0,0,0,0,66.8169888,
,"Murray East",10.7769347,15.0202715,4.468145,0,0,0,0.7338715,30.9992227,
,"Peninsula",132.8628739,45.798122,0,4.7698609,0,0,0.7137991,184.1446559,
,"Phillip Island",66.9622922,14.3106224,0,1.7599087,0,0,0,83.0328233,
,"Spa Country",50.6442562,6.4687742,3.665516,0,0,0,5.5241628,66.3027092,
,"Upper Yarra",42.6419125,9.9897577,6.8337351,0,0,0,0,59.4654053,
,"Western Grampians",19.8737416,34.1227712,25.9783709,0,0,0,0,79.9748837,
,"Wimmera",13.7811636,16.3213288,5.5550584,0,0,1.5272818,0.7927417,37.9775743,
,"Victoria",1753.3888315,1313.7247231,870.9032506,117.2904103,0,31.0600334,32.5497408,4052.7944504,
,"Brisbane",255.3970817,404.0564152,296.5167643,46.7949301,0,11.5441976,0.7338715,1013.6452666,
,"Bundaberg",54.9196564,45.8830378,28.748848,0,0,0,4.9085989,130.4548587,
,"Central Queensland",149.6139741,89.1565329,37.1909594,12.2658509,0,6.907371,7.1995216,298.9441714,
,"Darling Downs",135.5379849,156.9543755,66.3962833,25.9739527,0,8.4916549,5.2704578,398.6247091,
,"Fraser Coast",100.7862701,53.6639747,28.0484658,0,0,0,2.2456636,184.7443742,
,"Gold Coast",519.0064184,188.7286251,110.3555526,20.9251655,0,0,0.7338715,839.7496331,
,"Mackay",48.4801599,26.5769793,62.9328771,16.9186222,0,1.6251291,4.5772472,161.1110148,
,"Northern",99.0844201,44.3109748,66.0311618,19.430701,0,4.9166478,9.5237436,241.7018949,
,"Outback",97.8207464,25.0687858,130.2238465,9.5095267,0,1.6251291,11.5183951,274.1413005,
,"Sunshine Coast",367.6932251,172.6220082,63.818577,11.1725205,0,6.7050273,3.0247942,621.4231509,
,"Tropical North Queensland",271.6278795,49.201098,86.5216431,16.156114,0,3.8836486,8.7972337,424.9230278,
,"Whitsundays",64.3839638,9.7529243,7.6341165,0,0,5.5087777,6.4857225,93.7655048,
,"Queensland",1746.986117,1150.4625385,904.374121,148.0271056,0,30.8268721,49.6198723,3878.7153042,
,"Adelaide",156.089398,232.3488833,166.0346866,38.431629,0,0,15.7901233,607.2475736,
,"Adelaide Hills",12.9211976,3.5971861,7.4175726,2.5551154,0,0,0,26.4910717,
,"Barossa",17.9069042,8.8389136,2.9974846,0,0,0,0,29.7433024,
,"Clare Valley",18.0475066,3.3987208,2.9723974,5.6528446,0,0,2.5919517,32.6634211,
,"Eyre Peninsula",29.6573808,13.8780075,11.741853,5.0725814,0,1.0303047,20.9334772,82.3136046,
,"Fleurieu Peninsula",64.7437264,14.4750944,6.4019065,0,0,0,0.7927417,86.413469,
,"Limestone Coast",36.5079252,18.3481929,24.3291917,2.5551154,0,0,9.1011303,87.5500748,
,"Murraylands",35.0068899,17.0109725,7.4740731,0,0,0,0.7137991,60.2057346,
,"Riverland",33.7269121,19.3512198,10.9487827,0,0,0,5.5241628,69.5510774,
,"Yorke Peninsula",40.4222914,12.3460201,16.2281561,0,0,0,3.0380211,72.0344887,
,"Flinders Ranges and Outback",51.5098013,23.0846252,25.0845052,3.7506773,0,1.0780689,28.9892472,132.9621381,
,"Kangaroo Island",10.4643806,0,0,0,0,0,0,10.4643806,
,"South Australia",449.8325164,355.7286102,269.7091521,47.7975015,0,2.1083736,54.6103004,1160.2172673,
,"Experience Perth",250.5393022,235.0383778,129.1359873,48.137064,0,7.0262302,23.2243999,690.6781651,
,"Australia's Golden Outback",85.4703508,31.7734836,75.4923738,14.1437262,0,2.2566193,24.9396743,234.076228,
,"Australia's North West",100.7228595,21.6768249,62.2193503,0,0,0.5672857,22.0341962,200.636407,
,"Australia's South West",199.8393424,102.6416666,51.9963927,5.5622554,0,2.7160988,13.1911392,368.9179501,
,"Australia's Coral Coast",118.3577667,19.2593304,33.6971921,2.5900455,0,3.7182187,20.9334772,198.5560306,
,"Western Australia",656.0287898,399.1531721,351.1858894,64.9337024,0,16.2844527,41.9645869,1493.0804604,
,"Hobart and the South",53.8283971,59.1851522,56.0468324,7.842058,0,0,0,176.9024397,
,"East Coast",32.1981763,6.7226937,0.6825454,0.8592042,0,0.8891674,0,40.6692416,
,"Launceston, Tamar and the North",43.7913301,26.829238,16.4426836,3.5413008,0,0,0,89.9220071,
,"North West",27.1221911,25.9323654,19.5423119,2.4575806,0,0,0.7137991,75.7682481,
,"Wilderness West",9.2454441,1.1265401,8.47923,0,0,0,0,18.8512142,
,"Tasmania",156.7634507,118.8574793,101.9851927,13.9010693,0,0.8891674,19.6213546,387.9899744,
,"Darwin",106.297526,29.5228032,42.4058621,1.6776018,0,0,18.956945,198.8607381,
